epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,9164.26,0.62979,0.3147,0.94297,0.96875,0.8364,0.88925,0.8029,0.561,0.28079,0.7918,0.001156,0.001156,0.001156
136,9236.51,0.6331,0.31664,0.94121,0.95878,0.84109,0.88816,0.80235,0.55878,0.28037,0.79192,0.00109,0.00109,0.00109
137,9309.63,0.6366,0.32151,0.94599,0.95886,0.8427,0.88822,0.80182,0.55708,0.28137,0.79162,0.001024,0.001024,0.001024
138,9382.7,0.62982,0.31483,0.94258,0.95889,0.84332,0.88655,0.80159,0.5578,0.27964,0.7914,0.000958,0.000958,0.000958
139,9455.87,0.6259,0.31102,0.94069,0.95827,0.84402,0.88928,0.80129,0.5552,0.2817,0.79111,0.000892,0.000892,0.000892
140,9529.55,0.62326,0.31407,0.93999,0.95762,0.8441,0.88894,0.80165,0.55731,0.28457,0.79124,0.000826,0.000826,0.000826
141,9624.29,0.63018,0.28292,0.92494,0.95619,0.84529,0.8883,0.80082,0.56491,0.28083,0.7917,0.00076,0.00076,0.00076
142,9698.36,0.61228,0.27802,0.91445,0.95641,0.8453,0.88808,0.80006,0.57113,0.28264,0.79121,0.000694,0.000694,0.000694
143,9769.95,0.60108,0.26993,0.91213,0.95707,0.84574,0.88854,0.80041,0.57326,0.28444,0.79117,0.000628,0.000628,0.000628
144,9842.51,0.5973,0.26952,0.91189,0.95827,0.84397,0.88831,0.80095,0.57469,0.28464,0.79089,0.000562,0.000562,0.000562
145,9915.03,0.59378,0.26644,0.91212,0.96024,0.84465,0.88979,0.80198,0.57813,0.28223,0.79129,0.000496,0.000496,0.000496
146,9987.6,0.58195,0.26454,0.90819,0.959,0.84578,0.88936,0.80114,0.57981,0.28367,0.7914,0.00043,0.00043,0.00043
147,10060.2,0.58448,0.26439,0.90413,0.95838,0.84626,0.89052,0.80339,0.57944,0.28291,0.79132,0.000364,0.000364,0.000364
148,10133.5,0.57886,0.26325,0.90863,0.95834,0.84542,0.89055,0.80385,0.58081,0.28339,0.79148,0.000298,0.000298,0.000298
149,10209.8,0.58384,0.26135,0.90683,0.95963,0.84549,0.89109,0.8023,0.58362,0.28702,0.79158,0.000232,0.000232,0.000232
150,10284.2,0.57841,0.25851,0.90648,0.95901,0.84606,0.89158,0.80348,0.58683,0.28313,0.79208,0.000166,0.000166,0.000166
